year,region,gender,rank,name
2016,Česko,girl,184-251,Dieu Anh
2016,Česko,boy,165-517,Surafel Begashaw
2016,Česko,girl,184-251,Bao Anh
2016,Česko,boy,165-517,Quoc Khanh
2016,Česko,girl,184-251,Alex
2016,Česko,boy,165-517,Svatoslav
2016,Česko,girl,184-251,Amanda
2016,Česko,boy,165-517,Luca Giovanni
2016,Česko,girl,184-251,Josefa
2016,Česko,boy,165-517,Svyatoslav
2016,Česko,girl,184-251,Isabelle
2016,Česko,boy,165-517,Matthias
2016,Česko,girl,184-251,Elli
2016,Česko,boy,165-517,Šimon Pavel
2016,Česko,girl,252-619,Trang Kieu Ang
2016,Česko,boy,165-517,Radovan
2016,Česko,girl,252-619,Sylva
2016,Česko,boy,165-517,Mark Sebastian
2016,Česko,girl,252-619,Viviane
2016,Česko,boy,165-517,Rafael Immanuel
2016,Česko,girl,252-619,Nora
2016,Česko,boy,165-517,Tadeáš Valentin
2016,Česko,girl,252-619,Tereza Lisbet
2016,Česko,boy,165-517,Rayan
2016,Česko,girl,252-619,Odette
2016,Česko,boy,165-517,Tat Tien
2016,Česko,girl,252-619,Vendulka
2016,Česko,boy,165-517,Raymond
2016,Česko,girl,252-619,Maryam Naima
2016,Česko,boy,165-517,Lukesh
2016,Česko,girl,252-619,Zoja
2016,Česko,boy,165-517,Reiner
2016,Česko,girl,252-619,Olivia
2016,Česko,boy,165-517,Thanh An
2016,Česko,girl,252-619,Maria Adéla
2016,Česko,boy,165-517,Miron
2016,Česko,girl,252-619,Olívia
2016,Česko,boy,165-517,Michael Timotei
2016,Česko,girl,252-619,Natália
2016,Česko,boy,165-517,Ridley
2016,Česko,girl,252-619,Olivia Gergel
2016,Česko,boy,165-517,Theodor Kristián
2016,Česko,girl,252-619,Lucie Simone
2016,Česko,boy,165-517,Marat
2016,Česko,girl,252-619,Madlen
2016,Česko,boy,165-517,Thomas Arthur
2016,Česko,girl,252-619,Viktória
2016,Česko,boy,165-517,Richard Jaroslav
2016,Česko,girl,252-619,Lolla
2016,Česko,boy,165-517,Thomas Petr
2016,Česko,girl,252-619,Yasina
2016,Česko,boy,165-517,Matti
2016,Česko,girl,252-619,Patricia
2016,Česko,boy,165-517,Timafey
2016,Česko,girl,252-619,Stella Ráchel
2016,Česko,boy,165-517,Mohammad Sadra
2016,Česko,girl,252-619,Matylda Josefína
2016,Česko,boy,165-517,Timofej
2016,Česko,girl,252-619,Miya
2016,Česko,boy,165-517,Mojmír
2016,Česko,girl,252-619,Patricie Penelope
2016,Česko,boy,165-517,Max Samuel
2016,Česko,girl,252-619,Tatiana
2016,Česko,boy,165-517,Roman Karel
2016,Česko,girl,252-619,Maximiliane Rosalia
2016,Česko,boy,165-517,Markus Marcel
2016,Česko,girl,252-619,Thanh Mai
2016,Česko,boy,165-517,Miguel
2016,Česko,girl,252-619,Maxine Gabriela
2016,Česko,boy,165-517,Tobiáš Jiří
2016,Česko,girl,252-619,Thu Trang
2016,Česko,boy,165-517,Roy Anthony
2016,Česko,girl,252-619,Loren
2016,Česko,boy,165-517,Marley Samuel
2016,Česko,girl,252-619,Natálie Anabel
2016,Česko,boy,165-517,Maksim
2016,Česko,girl,252-619,Petra Miroslava
2016,Česko,boy,165-517,Tomáš James
2016,Česko,girl,252-619,Nelli
2016,Česko,boy,165-517,Rui
2016,Česko,girl,252-619,Philippa
2016,Česko,boy,165-517,Tony
2016,Česko,girl,252-619,Ngoc Minh Thu
2016,Česko,boy,165-517,Rui Jun
2016,Česko,girl,252-619,Phuong Anh
2016,Česko,boy,165-517,Trong Minh Phuoc
2016,Česko,girl,252-619,Viola Marie
2016,Česko,boy,165-517,Ryuhi
2016,Česko,girl,252-619,Phuong Trinh
2016,Česko,boy,165-517,Trong Tri
2016,Česko,girl,252-619,Vladimíra
2016,Česko,boy,165-517,Michael Jan
2016,Česko,girl,252-619,Phuong Uyen
2016,Česko,boy,165-517,Tuvia
2016,Česko,girl,252-619,Madalina
2016,Česko,boy,165-517,Samuel Erwin
2016,Česko,girl,252-619,Lorena
2016,Česko,boy,165-517,Tymofij
2016,Česko,girl,252-619,Zuzana Antonieta
2016,Česko,boy,165-517,Samuel Pavel
2016,Česko,girl,252-619,Magdalena Anna
2016,Česko,boy,165-517,Nazar
2016,Česko,girl,252-619,Melania
2016,Česko,boy,165-517,Samuil
2016,Česko,girl,252-619,Mišela
2016,Česko,boy,165-517,Nhat duc
2016,Česko,girl,252-619,Magdalena Martina
2016,Česko,boy,165-517,Santiago
2016,Česko,girl,252-619,Talina
2016,Česko,boy,165-517,Vigo
2016,Česko,girl,252-619,Regina
2016,Česko,boy,165-517,Luong Mai Lam
2016,Česko,girl,252-619,Tara
2016,Česko,boy,165-517,Viktor Dan
2016,Česko,girl,252-619,Regína
2016,Česko,boy,165-517,Matyáš František
2016,Česko,girl,252-619,Temilayo
2016,Česko,boy,165-517,Viktor Eduard
2016,Česko,girl,252-619,Lota
2016,Česko,boy,165-517,Sebastian Orin
2016,Česko,girl,252-619,Tereza Monika
2016,Česko,boy,165-517,Viliam
2016,Česko,girl,252-619,Žofie Antonie
2016,Česko,boy,165-517,Sebastian Stanley
2016,Česko,girl,252-619,Lucie Kora
2016,Česko,boy,165-517,Villiam
2016,Česko,girl,252-619,Žofie Šarlota
2016,Česko,boy,165-517,Zachariáš
2016,Česko,girl,252-619,Thien Huong
2016,Česko,boy,165-517,Martin Leonardo
2016,Česko,girl,252-619,Robin
2016,Česko,boy,165-517,Mikeš
2016,Česko,girl,252-619,Marianna May
2016,Česko,boy,165-517,Michal Lukáš
2016,Česko,girl,252-619,Romana
2016,Česko,boy,165-517,Munkhitgel
2016,Česko,girl,252-619,Tuong Vy
2016,Česko,boy,165-517,Vladimir
2016,Česko,girl,252-619,Ronda
